series,outcome,model,origin,h,actual,pred,lo,hi,err,abs_err,ape,covered,mase_scale,scaled_err
Upper middle income,DALY,Naive,2017,2,4170876.9996002666,4105745.1459060865,3859238.3023702735,4352251.9894419,65131.85369418003,65131.85369418003,1.5615865368463806,1,79950.20564842482,0.8146552365430126
Upper middle income,DALY,Naive,2017,3,4222895.9903025245,4105745.1459060865,3803837.1535226707,4407653.138289502,117150.84439643798,117150.84439643798,2.774182567258669,1,79950.20564842482,1.4652975992532185
Upper middle income,DALY,Naive,2017,4,4563149.599848968,4105745.1459060865,3757131.8245599573,4454358.467252215,457404.45394288143,457404.45394288143,10.023875920220119,0,79950.20564842482,5.721116665469055
Upper middle income,DALY,Naive,2017,5,4873067.147893458,4105745.1459060865,3715983.603710125,4495506.688102048,767322.0019873711,767322.0019873711,15.746181587484816,0,79950.20564842482,9.597498790204662
Upper middle income,DALY,Naive,2017,6,4858325.573486687,4105745.1459060865,3678782.768488627,4532707.523323546,752580.4275806001,752580.4275806001,15.490530969922089,0,79950.20564842482,9.413114343820672
Upper middle income,DALY,Drift,2017,1,4163097.716688447,4185695.3515545116,4106471.7160472656,4264918.987061758,-22597.634866064414,22597.634866064414,0.542808178041994,1,79950.20564842482,0.28264636323058207
Upper middle income,DALY,Drift,2017,2,4170876.9996002666,4265645.557202936,4151623.26982437,4379667.8445815025,-94768.55760266958,94768.55760266958,2.2721494211349826,1,79950.20564842482,1.185344763456987
Upper middle income,DALY,Drift,2017,3,4222895.9903025245,4345595.762851361,4203560.22931075,4487631.296391972,-122699.77254883666,122699.77254883666,2.905583581281777,1,79950.20564842482,1.534702400746784
Upper middle income,DALY,Drift,2017,4,4563149.599848968,4425545.968499786,4258826.393373282,4592265.543626291,137603.63134918176,137603.63134918176,3.015540655378386,1,79950.20564842482,1.7211166654690504
Upper middle income,DALY,Drift,2017,5,4873067.147893458,4505496.17414821,4316115.462760729,4694876.885535692,367570.97374524735,367570.97374524735,7.542908041071052,0,79950.20564842482,4.597498790204666
Upper middle income,DALY,Drift,2017,6,4858325.573486687,4585446.379796635,4374773.638005095,4796119.121588176,272879.1936900513,272879.1936900513,5.616733369604406,0,79950.20564842482,3.413114343820673
Upper middle income,DALY,ETS,2018,1,4170876.9996002666,4215321.6695404975,4140659.9983904227,4289983.340690573,-44444.6699402309,44444.6699402309,1.065595315912947,1,79143.14726035108,0.5615731933685265
Upper middle income,DALY,ETS,2018,2,4222895.9903025245,4262850.249473635,4101878.8700265596,4423821.628920711,-39954.25917111058,39954.25917111058,0.9461341047201186,1,79143.14726035108,0.5048353591458291
Upper middle income,DALY,ETS,2018,3,4563149.599848968,4306113.921500656,4045886.3631220204,4566341.479879291,257035.67834831215,257035.67834831215,5.632856708375714,1,79143.14726035108,3.24773132287451
Upper middle income,DALY,ETS,2018,4,4873067.147893458,4345495.390921681,3977091.9966005306,4713898.785242831,527571.7569717765,527571.7569717765,10.826277187660684,0,79143.14726035108,6.6660446953956045
Upper middle income,DALY,ETS,2018,5,4858325.573486687,4381343.021534044,3898557.282469059,4864128.760599029,476982.5519526424,476982.5519526424,9.8178383629882,1,79143.14726035108,6.026833256751211
Upper middle income,DALY,ARIMA,2018,1,4170876.9996002666,4157421.563394392,4103475.733780619,4211367.393008165,13455.436205874663,13455.436205874663,0.32260448359335986,1,79143.14726035108,0.17001391366976293
Upper middle income,DALY,ARIMA,2018,2,4222895.9903025245,4164594.927485872,4044492.983785813,4284696.871185931,58301.06281665247,58301.06281665247,1.3805943350377388,1,79143.14726035108,0.7366533279863635
Upper middle income,DALY,ARIMA,2018,3,4563149.599848968,4225514.670244692,4052195.382216126,4398833.958273257,337634.9296042761,337634.9296042761,7.3991641566047095,0,79143.14726035108,4.266129681368175
Upper middle income,DALY,ARIMA,2018,4,4873067.147893458,4331230.078388174,4127183.0110085793,4535277.145767769,541837.0695052836,541837.0695052836,11.119015048653914,0,79143.14726035108,6.8462916659460635
Upper middle income,DALY,ARIMA,2018,5,4858325.573486687,4446260.74329245,4227418.8711855505,4665102.6153993495,412064.8301942367,412064.8301942367,8.481622401820822,0,79143.14726035108,5.206576241385738
Upper middle income,DALY,Naive,2018,1,4170876.9996002666,4163097.716688447,3990618.763517918,4335576.669858976,7779.282911819406,7779.282911819406,0.18651432091056547,1,79143.14726035108,0.09829382809643016
Upper middle income,DALY,Naive,2018,2,4222895.9903025245,4163097.716688447,3919175.6418907708,4407019.791486124,59798.27361407736,59798.27361407736,1.4160489330402255,1,79143.14726035108,0.7555710845989434
Upper middle income,DALY,Naive,2018,3,4563149.599848968,4163097.716688447,3864355.4065607972,4461840.026816097,400051.8831605208,400051.8831605208,8.76701222273672,0,79143.14726035108,5.054788658385054
Upper middle income,DALY,Naive,2018,4,4873067.147893458,4163097.716688447,3818139.8103473885,4508055.623029506,709969.4312050105,709969.4312050105,14.569251965097957,0,79143.14726035108,8.970700000967602
Upper middle income,DALY,Naive,2018,5,4858325.573486687,4163097.716688447,3777423.052711141,4548772.380665753,695227.8567982395,695227.8567982395,14.31003020036991,0,79143.14726035108,8.784435303175426
Upper middle income,DALY,Drift,2018,1,4170876.9996002666,4242240.863948798,4164082.1933440804,4320399.534553515,-71363.864348531235,71363.864348531235,1.7110038093995745,1,79143.14726035108,0.9017061719035643
Upper middle income,DALY,Drift,2018,2,4222895.9903025245,4321384.011209149,4208961.36846561,4433806.653952688,-98488.02090662438,98488.02090662438,2.3322388506085083,1,79143.14726035108,1.2444289154010515
Upper middle income,DALY,Drift,2018,3,4563149.599848968,4400527.1584695,4260562.096999737,4540492.219939263,162622.44137946796,162622.44137946796,3.5638200725404765,0,79143.14726035108,2.054788658385059
Upper middle income,DALY,Drift,2018,4,4873067.147893458,4479670.305729851,4315466.525983235,4643874.085476467,393396.84216360655,393396.84216360655,8.072879568952075,0,79143.14726035108,4.970700000967607
Upper middle income,DALY,Drift,2018,5,4858325.573486687,4558813.452990202,4372381.591029957,4745245.3149504475,299512.12049648445,299512.12049648445,6.16492484840889,0,79143.14726035108,3.7844353031754303
