model,origin,h,target_year,DALY_actual,DALY_point,DALY_scenario_low,DALY_scenario_high,DALY_covered,DALY_ape,VLW_actual,VLW_point,VLW_scenario_low,VLW_scenario_high,VLW_covered,VLW_ape,rel_width_DALY,n_group_draws_nonpositive
Naive,2013,1,2014,4530578.906771354,4393727.959245902,4238207.623828148,4547983.654469035,1,3.020606203788149,558.1176685195273,542.0450192527753,521.9197595784805,562.0870906855998,1,2.879795816066281,7.050414443366088,0
Naive,2013,2,2015,4725079.203087951,4393727.959245902,4176469.419669711,4611908.48862464,0,7.012607188161072,581.0488858465535,542.0450192527753,513.7038564918311,570.5501572710966,0,6.712665241058311,9.910469491826786,0
Naive,2013,3,2016,4994006.586104154,4393727.959245902,4127043.769504046,4661004.834732418,0,12.01998068101332,613.7476956742455,542.0450192527753,507.4468095494742,576.6659402198707,0,11.682760998833519,12.152802134796165,0
Naive,2013,4,2017,5230668.763601395,4393727.959245902,4085990.3175216964,4700745.296770621,0,16.000646230545236,640.9996073208337,542.0450192527753,501.7507463054202,581.9093534595687,0,15.437542697047164,13.991648662618509,0
Naive,2013,5,2018,5340356.51562367,4393727.959245902,4049403.9256188152,4737805.496286816,0,17.725943082794675,651.1298257189403,542.0450192527753,497.48985459221365,586.8607521918093,0,16.753157689516033,15.66782415873903,0
Naive,2013,6,2019,5409337.703633718,4393727.959245902,4017454.1186591657,4774132.62908129,0,18.775121836183043,654.6443394892658,542.0450192527753,493.05424860029825,591.7571622816703,0,17.200075437043747,17.22178790859855,0
Naive,2014,1,2015,4725079.203087951,4530578.906771354,4367770.931490686,4690863.328197138,0,4.116339387273892,581.0488858465535,558.1176685195273,537.3053596969518,578.7554753454883,0,3.946521176719365,7.131371141634067,0
Naive,2014,2,2016,4994006.586104154,4530578.906771354,4303424.662677844,4759014.930694222,0,9.279676975642943,613.7476956742455,558.1176685195273,528.9915051525754,587.3909861856342,0,9.063989575326165,10.055895226445744,0
Naive,2014,3,2017,5230668.763601395,4530578.906771354,4252003.134251773,4810498.408259399,0,13.384327864569624,640.9996073208337,558.1176685195273,522.2382545869348,593.8263528585713,0,12.930107578025735,12.327238648749828,0
Naive,2014,4,2018,5340356.51562367,4530578.906771354,4210028.111876495,4851699.827068851,0,15.16336234263091,651.1298257189403,558.1176685195273,516.8253129526436,599.2722757901429,0,14.28473301721577,14.163128562518148,0
Naive,2014,5,2019,5409337.703633718,4530578.906771354,4170008.3891781615,4888484.185615941,0,16.24521974791957,654.6443394892658,558.1176685195273,512.0485646322123,604.2712913190181,0,14.74490271237138,15.858366253459424,0
Naive,2014,6,2020,5543301.44389638,4530578.906771354,4136417.915007814,4927614.156162729,0,18.269303002457402,666.011942526678,558.1176685195273,507.5898513012711,609.1287234482213,0,16.200050947709368,17.463468961381544,0
Naive,2015,1,2016,4994006.586104154,4725079.203087951,4542803.942299885,4903493.756973164,0,5.385002570170698,613.7476956742455,581.0488858465535,558.3809157275525,603.3460706861736,0,5.327728325198848,7.633518914086351,0
Naive,2015,2,2017,5230668.763601395,4725079.203087951,4470313.386988205,4980451.347853857,0,9.66586842645601,640.9996073208337,581.0488858465535,549.3735232359226,612.8920744419852,0,9.352692386950803,10.796389625220778,0
Naive,2015,3,2018,5340356.51562367,4725079.203087951,4412588.195536262,5037861.141378405,0,11.521277853560386,651.1298257189403,581.0488858465535,542.1236804086541,619.9775259056505,0,10.762974925162958,13.23306803901851,0
Naive,2015,4,2019,5409337.703633718,4725079.203087951,4366151.359548113,5086329.618693874,0,12.649580004704033,654.6443394892658,581.0488858465535,536.1261541281657,625.9482121222321,0,11.24205147792606,15.24161243001191,0
Naive,2015,5,2020,5543301.44389638,4725079.203087951,4319930.631155238,5126803.288405061,0,14.760558289850131,666.011942526678,581.0488858465535,530.7216682444238,631.0879283620703,0,12.756986962995967,17.076383750827137,0
Naive,2015,6,2021,6029567.651407573,4725079.203087951,4280334.3788737925,5168105.493860679,0,21.6348588113958,721.6596713207388,581.0488858465535,525.9945993711423,636.2418905680966,0,19.484362374974857,18.788491723201314,0
Naive,2016,1,2017,5230668.763601395,4994006.586104154,4783322.132687509,5201354.69553539,0,4.524510883657946,640.9996073208337,613.7476956742455,587.9035906496455,639.0607901610665,0,4.251470880066859,8.37068505298047,0
Naive,2016,2,2018,5340356.51562367,4994006.586104154,4701568.68624233,5288533.197809305,0,6.4855207420373535,651.1298257189403,613.7476956742455,577.7388574984253,649.8348449197525,0,5.741117756880449,11.753378804109042,0
Naive,2016,3,2019,5409337.703633718,4994006.586104154,4633485.49098108,5355269.589161743,0,7.6780400907594695,654.6443394892658,613.7476956742455,569.588646359085,657.9997556413372,1,6.247154576625019,14.453006533652385,0
Naive,2016,4,2020,5543301.44389638,4994006.586104154,4580823.986566378,5411555.02893409,0,9.909164481701502,666.011942526678,613.7476956742455,562.9307973655384,665.0992972996885,0,7.8473437959919154,16.634560408454917,0
Naive,2016,5,2021,6029567.651407573,4994006.586104154,4523275.150549099,5460050.764823287,0,17.17471509025482,721.6596713207388,613.7476956742455,556.3250840156387,670.6515300127941,0,14.953305544842094,18.75799717366754,0
Naive,2016,6,2022,6384465.217175624,4994006.586104154,4481055.859644748,5505048.782830684,0,21.778779956868263,770.5003415641659,613.7476956742455,550.6610822979812,676.3123830277414,0,20.34426689178389,20.504436778982253,0
Naive,2017,1,2018,5340356.51562367,5230668.763601395,5003665.230827619,5454061.789227628,1,2.0539406255251658,651.1298257189403,640.9996073208337,613.4653013163228,668.0290305416552,1,1.555790872722109,8.610687825124371,0
Naive,2017,2,2019,5409337.703633718,5230668.763601395,4916323.23508012,5547262.474238168,1,3.302972560065943,654.6443394892658,640.9996073208337,602.7576112297852,679.4194838321118,1,2.0842969755267964,12.062305369985559,0
Naive,2017,3,2020,5543301.44389638,5230668.763601395,4841972.889231084,5619940.331172185,1,5.639828240609549,666.011942526678,640.9996073208337,593.9019481381401,688.3016321865371,1,3.7555385434912747,14.873192647080536,0
Naive,2017,4,2021,6029567.651407573,5230668.763601395,4786058.271862069,5679841.163078364,0,13.24968777188658,721.6596713207388,640.9996073208337,586.9800823669018,695.744072117104,0,11.177022522581295,17.08735405758922,0
Naive,2017,5,2022,6384465.217175624,5230668.763601395,4725445.608597623,5730853.154286708,0,18.07193577420175,770.5003415641659,640.9996073208337,579.679962446782,701.7351609039243,0,16.807355851450666,19.221395793314315,0
Naive,2017,6,2023,6468654.8701936295,5230668.763601395,4677264.810602144,5781420.591841921,0,19.138230921804876,771.969704916931,640.9996073208337,573.8166879704328,707.8739558563454,0,16.965704322579683,21.109265968498235,0
