Country,Sex,Income Group,DALYs,VLW (billion USD),VLW undiscounted (billion USD),VLW/GDP (%)
Dominican Republic,Male,Upper middle income,"9,103 (6,259<e2><80><93>12,350)",0.758 (0.521<e2><80><93>1.028),0.347 (0.239<e2><80><93>0.471),0.2588 (0.1780<e2><80><93>0.3511)
Dominican Republic,Female,Upper middle income,"7,016 (5,121<e2><80><93>9,389)",0.584 (0.426<e2><80><93>0.782),0.253 (0.185<e2><80><93>0.339),0.1995 (0.1456<e2><80><93>0.2669)
Nicaragua,Male,Lower middle income,"2,464 (1,748<e2><80><93>3,342)",0.037 (0.027<e2><80><93>0.051),0.016 (0.012<e2><80><93>0.022),0.0660 (0.0468<e2><80><93>0.0895)
Nicaragua,Female,Lower middle income,"2,801 (2,034<e2><80><93>3,788)",0.043 (0.031<e2><80><93>0.058),0.018 (0.013<e2><80><93>0.024),0.0750 (0.0545<e2><80><93>0.1015)
Nigeria,Male,Lower middle income,"14,472 (9,137<e2><80><93>19,747)",0.236 (0.149<e2><80><93>0.321),0.119 (0.075<e2><80><93>0.163),0.0119 (0.0075<e2><80><93>0.0162)
Nigeria,Female,Lower middle income,"10,770 (7,298<e2><80><93>15,716)",0.175 (0.119<e2><80><93>0.256),0.088 (0.060<e2><80><93>0.129),0.0088 (0.0060<e2><80><93>0.0129)
Fiji,Male,Upper middle income,565 (378<e2><80><93>777),0.020 (0.013<e2><80><93>0.028),0.010 (0.006<e2><80><93>0.013),0.1482 (0.0992<e2><80><93>0.2038)
Fiji,Female,Upper middle income,306 (211<e2><80><93>427),0.011 (0.007<e2><80><93>0.015),0.005 (0.003<e2><80><93>0.007),0.0803 (0.0553<e2><80><93>0.1119)
Timor-Leste,Male,Lower middle income,293 (178<e2><80><93>447),0.002 (0.001<e2><80><93>0.003),0.001 (0.001<e2><80><93>0.001),0.0294 (0.0178<e2><80><93>0.0449)
Timor-Leste,Female,Lower middle income,337 (224<e2><80><93>475),0.002 (0.001<e2><80><93>0.003),0.001 (0.001<e2><80><93>0.001),0.0338 (0.0224<e2><80><93>0.0477)
Lebanon,Male,Lower middle income,"7,092 (5,341<e2><80><93>9,274)",0.200 (0.151<e2><80><93>0.262),0.085 (0.064<e2><80><93>0.112),0.2761 (0.2079<e2><80><93>0.3610)
Lebanon,Female,Lower middle income,"4,495 (3,296<e2><80><93>6,040)",0.127 (0.093<e2><80><93>0.171),0.053 (0.039<e2><80><93>0.071),0.1750 (0.1283<e2><80><93>0.2351)
Liberia,Male,Low income,"1,343 (866<e2><80><93>2,002)",0.002 (0.001<e2><80><93>0.003),0.001 (0.001<e2><80><93>0.002),0.0208 (0.0134<e2><80><93>0.0309)
Liberia,Female,Low income,"951 (608<e2><80><93>1,413)",0.001 (0.001<e2><80><93>0.002),0.001 (0.000<e2><80><93>0.001),0.0147 (0.0094<e2><80><93>0.0218)
Morocco,Male,Lower middle income,"11,882 (7,454<e2><80><93>18,050)",0.234 (0.147<e2><80><93>0.356),0.102 (0.064<e2><80><93>0.154),0.0619 (0.0388<e2><80><93>0.0940)
Morocco,Female,Lower middle income,"9,423 (6,315<e2><80><93>13,259)",0.186 (0.125<e2><80><93>0.262),0.084 (0.056<e2><80><93>0.118),0.0491 (0.0329<e2><80><93>0.0690)
Somalia,Male,Low income,"1,128 (719<e2><80><93>1,796)",0.001 (0.001<e2><80><93>0.002),0.001 (0.000<e2><80><93>0.001),0.0049 (0.0031<e2><80><93>0.0077)
Somalia,Female,Low income,"1,031 (672<e2><80><93>1,466)",0.001 (0.001<e2><80><93>0.002),0.001 (0.000<e2><80><93>0.001),0.0044 (0.0029<e2><80><93>0.0063)
Armenia,Male,Upper middle income,"4,937 (4,215<e2><80><93>5,733)",0.313 (0.267<e2><80><93>0.363),0.132 (0.112<e2><80><93>0.153),0.4898 (0.4181<e2><80><93>0.5688)
Armenia,Female,Upper middle income,"3,670 (3,160<e2><80><93>4,288)",0.232 (0.200<e2><80><93>0.272),0.093 (0.080<e2><80><93>0.109),0.3641 (0.3135<e2><80><93>0.4255)
Senegal,Male,Lower middle income,"2,962 (1,882<e2><80><93>4,266)",0.020 (0.012<e2><80><93>0.028),0.009 (0.006<e2><80><93>0.013),0.0227 (0.0144<e2><80><93>0.0327)
Senegal,Female,Lower middle income,"2,579 (1,767<e2><80><93>3,662)",0.017 (0.012<e2><80><93>0.024),0.008 (0.005<e2><80><93>0.011),0.0198 (0.0135<e2><80><93>0.0281)
Brazil,Male,Upper middle income,"203,346 (190,743<e2><80><93>216,159)",12.558 (11.779<e2><80><93>13.349),5.563 (5.218<e2><80><93>5.913),0.2809 (0.2635<e2><80><93>0.2986)
Brazil,Female,Upper middle income,"192,173 (176,554<e2><80><93>205,593)",11.868 (10.903<e2><80><93>12.696),5.027 (4.619<e2><80><93>5.378),0.2654 (0.2439<e2><80><93>0.2840)
Marshall Islands,Male,Upper middle income,28 (18<e2><80><93>48),0.000 (0.000<e2><80><93>0.001),0.000 (0.000<e2><80><93>0.000),0.1256 (0.0793<e2><80><93>0.2151)
Marshall Islands,Female,Upper middle income,21 (13<e2><80><93>33),0.000 (0.000<e2><80><93>0.000),0.000 (0.000<e2><80><93>0.000),0.0930 (0.0578<e2><80><93>0.1474)
Belarus,Male,Upper middle income,"19,417 (16,743<e2><80><93>22,169)",2.107 (1.817<e2><80><93>2.406),0.961 (0.828<e2><80><93>1.097),0.7445 (0.6419<e2><80><93>0.8500)
Belarus,Female,Upper middle income,"12,628 (11,236<e2><80><93>14,132)",1.370 (1.219<e2><80><93>1.533),0.567 (0.504<e2><80><93>0.635),0.4842 (0.4308<e2><80><93>0.5418)
Tuvalu,Male,Upper middle income,10 (6<e2><80><93>14),0.000 (0.000<e2><80><93>0.000),0.000 (0.000<e2><80><93>0.000),0.1579 (0.1038<e2><80><93>0.2180)
Tuvalu,Female,Upper middle income,5 (3<e2><80><93>7),0.000 (0.000<e2><80><93>0.000),0.000 (0.000<e2><80><93>0.000),0.0750 (0.0491<e2><80><93>0.1086)
Uganda,Male,Low income,"10,649 (6,915<e2><80><93>15,037)",0.037 (0.024<e2><80><93>0.052),0.018 (0.012<e2><80><93>0.026),0.0244 (0.0159<e2><80><93>0.0345)
Uganda,Female,Low income,"9,654 (6,427<e2><80><93>13,671)",0.033 (0.022<e2><80><93>0.047),0.016 (0.011<e2><80><93>0.023),0.0221 (0.0147<e2><80><93>0.0313)
Burkina Faso,Male,Low income,"2,538 (1,685<e2><80><93>3,512)",0.007 (0.005<e2><80><93>0.010),0.004 (0.002<e2><80><93>0.005),0.0116 (0.0077<e2><80><93>0.0161)
Burkina Faso,Female,Low income,"2,420 (1,609<e2><80><93>3,321)",0.007 (0.005<e2><80><93>0.010),0.003 (0.002<e2><80><93>0.005),0.0111 (0.0074<e2><80><93>0.0152)
Cambodia,Male,Lower middle income,"4,399 (2,780<e2><80><93>6,339)",0.056 (0.036<e2><80><93>0.081),0.025 (0.016<e2><80><93>0.036),0.0436 (0.0276<e2><80><93>0.0629)
Cambodia,Female,Lower middle income,"4,745 (3,131<e2><80><93>7,058)",0.061 (0.040<e2><80><93>0.091),0.026 (0.017<e2><80><93>0.039),0.0470 (0.0310<e2><80><93>0.0700)
South Africa,Male,Upper middle income,"42,591 (35,366<e2><80><93>52,381)",1.600 (1.328<e2><80><93>1.967),0.813 (0.675<e2><80><93>1.000),0.1665 (0.1382<e2><80><93>0.2047)
South Africa,Female,Upper middle income,"35,589 (28,091<e2><80><93>45,704)",1.337 (1.055<e2><80><93>1.716),0.640 (0.506<e2><80><93>0.823),0.1391 (0.1098<e2><80><93>0.1786)
Algeria,Male,Upper middle income,"12,983 (7,565<e2><80><93>19,391)",0.568 (0.331<e2><80><93>0.848),0.243 (0.142<e2><80><93>0.363),0.0731 (0.0426<e2><80><93>0.1092)
Algeria,Female,Upper middle income,"7,733 (5,136<e2><80><93>11,054)",0.338 (0.225<e2><80><93>0.483),0.144 (0.096<e2><80><93>0.207),0.0435 (0.0289<e2><80><93>0.0622)
Azerbaijan,Male,Upper middle income,"8,605 (6,170<e2><80><93>11,144)",0.627 (0.450<e2><80><93>0.812),0.285 (0.204<e2><80><93>0.369),0.2612 (0.1873<e2><80><93>0.3383)
Azerbaijan,Female,Upper middle income,"4,992 (3,594<e2><80><93>6,622)",0.364 (0.262<e2><80><93>0.483),0.158 (0.114<e2><80><93>0.210),0.1515 (0.1091<e2><80><93>0.2010)
Kenya,Male,Lower middle income,"11,303 (7,775<e2><80><93>15,204)",0.114 (0.078<e2><80><93>0.153),0.053 (0.036<e2><80><93>0.071),0.0325 (0.0224<e2><80><93>0.0438)
Kenya,Female,Lower middle income,"13,694 (9,557<e2><80><93>19,088)",0.138 (0.096<e2><80><93>0.192),0.063 (0.044<e2><80><93>0.088),0.0394 (0.0275<e2><80><93>0.0549)
Ghana,Male,Lower middle income,"9,574 (6,340<e2><80><93>13,654)",0.126 (0.083<e2><80><93>0.180),0.063 (0.042<e2><80><93>0.090),0.0494 (0.0327<e2><80><93>0.0704)
Ghana,Female,Lower middle income,"7,773 (5,134<e2><80><93>11,058)",0.102 (0.068<e2><80><93>0.146),0.049 (0.033<e2><80><93>0.070),0.0401 (0.0265<e2><80><93>0.0570)
Bosnia and Herzegovina,Male,Upper middle income,"6,957 (5,497<e2><80><93>8,623)",0.471 (0.372<e2><80><93>0.584),0.202 (0.159<e2><80><93>0.250),0.6568 (0.5189<e2><80><93>0.8141)
