Country,Sex,Income Group,DALYs (point estimate),VLW (billion constant-2023 USD; point estimate),VLW undiscounted (billion constant-2023 USD),VLW/GDP (%; point estimate)
Lesotho,Both,Lower middle income,1058,0.094,0.053,1.4072
Namibia,Both,Lower middle income,665,0.116,0.057,0.3491
South Africa,Both,Upper middle income,78180,15.899,7.872,1.6547
Eswatini,Both,Lower middle income,563,0.099,0.053,0.7104
Zimbabwe,Both,Lower middle income,7384,0.927,0.456,0.9794
Benin,Both,Lower middle income,4365,0.463,0.226,0.7939
Burkina Faso,Both,Low income,4959,0.43,0.206,0.6762
Cameroon,Both,Lower middle income,13570,1.646,0.856,1.0725
Cabo Verde,Both,Upper middle income,912,0.152,0.065,2.8467
Chad,Both,Low income,3735,0.32,0.177,0.6136
Côte d'Ivoire,Both,Lower middle income,14955,2.099,1.056,0.9304
Gambia,Both,Low income,391,0.037,0.018,0.4172
Ghana,Both,Lower middle income,17347,2.487,1.224,0.9742
Guinea,Both,Lower middle income,1807,0.196,0.101,0.3143
Guinea-Bissau,Both,Low income,532,0.048,0.025,0.7455
Liberia,Both,Low income,2295,0.16,0.085,1.6265
Mali,Both,Low income,11999,1.115,0.573,1.4778
Mauritania,Both,Lower middle income,2338,0.322,0.152,0.9202
Niger,Both,Low income,6191,0.442,0.239,0.9015
Nigeria,Both,Lower middle income,25242,3.885,1.961,0.1958
Sao Tome and Principe,Both,Lower middle income,38,0.005,0.002,0.3431
Senegal,Both,Lower middle income,5541,0.632,0.292,0.7315
Sierra Leone,Both,Low income,2776,0.266,0.146,0.9325
Togo,Both,Low income,2987,0.277,0.139,0.9429
Tuvalu,Both,Upper middle income,15,0.002,0.001,3.116
Sudan,Both,Low income,20318,1.649,0.778,1.3612
